level,age,goal,learning_style,time_available,vocab_score,grammar_score,listening_score,speaking_score,reading_score,writing_score,recommended_path,next_focus,top_3_recommendations
B2,22,Phỏng vấn,App,1,76,69,62,84,70,66,IELTS prep,Nói,Vocabulary: Travel; Listening: Map Labelling; Grammar: Present Perfect
A1,29,Giao tiếp,Nghe,6,43,22,26,27,31,34,Beginner path,Từ vựng,Listening: Map Labelling; Grammar: Past Simple; Writing: Email Format
A1,35,IELTS 6.5,Ví dụ,9,39,23,42,21,0,18,Beginner path,Từ vựng,Vocabulary: Work; Vocabulary: Travel; Reading: News Articles
C1,25,Giao tiếp,Nghe,5,91,77,100,93,91,97,Beginner path,Từ vựng,Speaking: Daily Routine; Grammar: Present Perfect; Listening: Conversations
B1,23,IELTS 6.5,Đọc,10,62,49,44,67,66,69,General English,Viết,Listening: Conversations; Speaking: Daily Routine; Vocabulary: Travel
C1,31,IELTS 6.5,Nghe,11,91,97,86,100,92,81,General English,Nghe,Speaking: Daily Routine; Writing: Email Format; Vocabulary: Work
B2,17,Phỏng vấn,Nghe,15,74,80,78,65,81,78,Conversation intensive,Ngữ pháp,Speaking: Introductions; Writing: Email Format; Listening: Map Labelling
A1,25,Phỏng vấn,Ví dụ,12,18,23,11,18,40,16,Beginner path,Từ vựng,Reading: Short Stories; Grammar: Present Perfect; Writing: Paragraph Structure
A2,29,Giao tiếp,Ví dụ,10,57,46,45,24,36,47,Conversation intensive,Nói,Vocabulary: Travel; Grammar: Present Perfect; Writing: Paragraph Structure
B2,20,IELTS 6.5,App,11,89,79,98,75,69,76,IELTS prep,Nói,Grammar: Past Simple; Listening: Conversations; Vocabulary: Work
A1,17,Phỏng vấn,Ví dụ,9,35,26,36,54,35,27,Conversation intensive,Ngữ pháp,Vocabulary: Work; Grammar: Past Simple; Writing: Email Format
B1,34,Phỏng vấn,Nghe,9,61,67,52,58,63,49,Beginner path,Ngữ pháp,Speaking: Introductions; Listening: Map Labelling; Reading: News Articles
A2,22,Phỏng vấn,Đọc,13,41,58,42,60,28,38,General English,Ngữ pháp,Writing: Email Format; Vocabulary: Travel; Listening: Conversations
B2,27,IELTS 6.5,App,3,73,86,78,79,59,75,Conversation intensive,Nói,Listening: Map Labelling; Grammar: Past Simple; Speaking: Daily Routine
C1,22,Giao tiếp,App,6,85,94,96,92,89,92,General English,Nói,Speaking: Daily Routine; Reading: News Articles; Grammar: Past Simple
A2,32,Giao tiếp,Đọc,2,41,61,51,47,37,49,Beginner path,Viết,Speaking: Introductions; Grammar: Present Perfect; Listening: Map Labelling
A1,16,Giao tiếp,App,3,27,32,30,21,17,28,Conversation intensive,Nghe,Reading: News Articles; Speaking: Introductions; Grammar: Present Perfect
A1,22,Giao tiếp,App,6,13,26,43,32,26,44,General English,Ngữ pháp,Listening: Conversations; Writing: Email Format; Reading: News Articles
A2,28,Giao tiếp,Đọc,4,50,59,36,49,43,49,Conversation intensive,Nói,Speaking: Daily Routine; Reading: News Articles; Vocabulary: Travel
C1,34,Giao tiếp,Đọc,3,95,82,90,80,100,93,General English,Nghe,Grammar: Present Perfect; Grammar: Past Simple; Listening: Map Labelling
A2,20,Giao tiếp,Ví dụ,2,55,44,48,31,46,41,IELTS prep,Nghe,Listening: Conversations; Vocabulary: Work; Reading: News Articles
B2,32,IELTS 6.5,Ví dụ,1,78,77,75,77,72,61,General English,Nói,Grammar: Past Simple; Listening: Map Labelling; Vocabulary: Work
B2,21,Giao tiếp,Ví dụ,14,85,90,76,64,63,77,General English,Nói,Reading: Short Stories; Vocabulary: Travel; Speaking: Daily Routine
A2,30,IELTS 6.5,Nghe,15,57,47,56,44,20,50,Beginner path,Nghe,Writing: Paragraph Structure; Speaking: Introductions; Writing: Email Format
A1,26,IELTS 6.5,Nghe,8,18,40,15,24,34,24,IELTS prep,Viết,Grammar: Past Simple; Vocabulary: Work; Listening: Conversations
C1,32,Giao tiếp,Nghe,8,94,89,94,92,100,90,General English,Đọc,Reading: News Articles; Reading: Short Stories; Speaking: Daily Routine
C1,26,Phỏng vấn,App,9,92,75,96,82,92,93,General English,Nghe,Writing: Paragraph Structure; Grammar: Past Simple; Vocabulary: Travel
B2,17,Giao tiếp,App,5,80,82,74,73,75,58,Beginner path,Nói,Listening: Conversations; Vocabulary: Travel; Grammar: Past Simple
A2,15,Giao tiếp,Đọc,3,53,45,48,61,51,53,General English,Nghe,Grammar: Past Simple; Grammar: Present Perfect; Vocabulary: Travel
